cell_id,lat,lon,elevation_m,slope_deg,rain_1h,rain_3h,rain_6h,rain_24h,rain_72h,rain_intensity,rain_acceleration,soil_moisture_surface,soil_saturation_index,antecedent_rain_48h,flood_event
0,26.5,91.4,50.0,2.0,0.7,1.54,2.31,3.0,5.4,0.7,0.19,0.408,0.85,3.09,1
0,26.5,91.4,50.0,2.0,8.9,19.58,29.37,85.8,154.44,8.9,2.37,0.435,0.907,125.07,1
0,26.5,91.4,50.0,2.0,11.2,24.64,36.96,66.1,118.98,11.2,2.99,0.432,0.899,82.02,1
0,26.5,91.4,50.0,2.0,8.5,18.7,28.05,83.9,151.02,8.5,2.27,0.437,0.91,122.97,1
0,26.5,91.4,50.0,2.0,4.5,9.9,14.85,18.2,32.76,4.5,1.2,0.421,0.878,17.91,1
0,26.5,91.4,50.0,2.0,6.5,14.3,21.45,46.4,83.52,6.5,1.73,0.429,0.893,62.07,1
0,26.5,91.4,50.0,2.0,9.2,20.24,30.36,32.8,59.04,9.2,2.45,0.424,0.884,28.68,1
0,26.5,91.4,50.0,2.0,4.5,9.9,14.85,32.4,58.32,4.5,1.2,0.429,0.894,43.47,1
0,26.5,91.4,50.0,2.0,2.4,5.28,7.92,9.3,16.74,2.4,0.64,0.416,0.867,8.82,1
0,26.5,91.4,50.0,2.0,0.5,1.1,1.65,1.9,3.42,0.5,0.13,0.401,0.836,1.77,1
0,26.5,91.4,50.0,2.0,3.3,7.26,10.89,13.3,23.94,3.3,0.88,0.411,0.855,13.05,1
0,26.5,91.4,50.0,2.0,13.7,30.14,45.21,92.2,165.96,13.7,3.65,0.435,0.906,120.75,1
0,26.5,91.4,50.0,2.0,25.3,55.66,83.49,93.4,168.12,25.3,6.75,0.431,0.898,84.63,1
0,26.5,91.4,50.0,2.0,6.0,13.2,19.8,44.4,79.92,6.0,1.6,0.429,0.893,60.12,1
0,26.5,91.4,50.0,2.0,9.9,21.78,32.67,53.0,95.4,9.9,2.64,0.43,0.895,62.73,1
0,26.5,91.4,50.0,2.0,3.9,8.58,12.87,16.3,29.34,3.9,1.04,0.42,0.875,16.47,1
0,26.5,91.4,50.0,2.0,2.2,4.84,7.26,8.2,14.76,2.2,0.59,0.419,0.872,7.5,1
0,26.5,91.4,50.0,2.0,7.8,17.16,25.74,44.1,79.38,7.8,2.08,0.429,0.894,53.64,1
0,26.5,91.4,50.0,2.0,19.6,43.12,64.68,114.5,206.1,19.6,5.23,0.433,0.903,141.42,1
0,26.5,91.4,50.0,2.0,20.5,45.1,67.65,103.1,185.58,20.5,5.47,0.433,0.903,117.93,1
0,26.5,91.4,50.0,2.0,15.0,33.0,49.5,141.2,254.16,15.0,4.0,0.436,0.908,204.66,1
0,26.5,91.4,50.0,2.0,15.5,34.1,51.15,116.3,209.34,15.5,4.13,0.437,0.909,158.19,1
0,26.5,91.4,50.0,2.0,25.1,55.22,82.83,75.2,135.36,25.1,6.69,0.433,0.903,52.53,1
0,26.5,91.4,50.0,2.0,11.0,24.2,36.3,69.9,125.82,11.0,2.93,0.434,0.905,89.52,1
0,26.5,91.4,50.0,2.0,7.1,15.62,23.43,22.1,39.78,7.1,1.89,0.421,0.876,16.35,1
0,26.5,91.4,50.0,2.0,2.3,5.06,7.59,6.1,10.98,2.3,0.61,0.411,0.856,3.39,1
0,26.5,91.4,50.0,2.0,0.7,1.54,2.31,1.8,3.24,0.7,0.19,0.375,0.782,0.93,1
0,26.5,91.4,50.0,2.0,5.8,12.76,19.14,18.4,33.12,5.8,1.55,0.383,0.798,13.98,1
0,26.5,91.4,50.0,2.0,15.9,34.98,52.47,140.5,252.9,15.9,4.24,0.436,0.909,200.43,1
0,26.5,91.4,50.0,2.0,7.6,16.72,25.08,74.5,134.1,7.6,2.03,0.436,0.909,109.02,1
0,26.5,91.4,50.0,2.0,28.3,62.26,93.39,225.3,405.54,28.3,7.55,0.438,0.912,312.15,1
0,26.5,91.4,50.0,2.0,34.5,75.9,113.85,158.8,285.84,34.5,9.2,0.436,0.909,171.99,1
0,26.5,91.4,50.0,2.0,7.6,16.72,25.08,48.1,86.58,7.6,2.03,0.43,0.896,61.5,1
0,26.5,91.4,50.0,2.0,2.8,6.16,9.24,7.3,13.14,2.8,0.75,0.419,0.873,3.9,1
0,26.5,91.4,50.0,2.0,2.0,4.4,6.6,5.0,9.0,2.0,0.53,0.417,0.868,2.4,1
0,26.5,91.4,50.0,2.0,0.9,1.98,2.97,2.4,4.32,0.9,0.24,0.403,0.84,1.35,1
0,26.5,91.4,50.0,2.0,0.3,0.66,0.99,1.2,2.16,0.3,0.08,0.388,0.809,1.17,1
0,26.5,91.4,50.0,2.0,0.4,0.88,1.32,0.6,1.08,0.4,0.11,0.361,0.751,0.0,1
0,26.5,91.4,50.0,2.0,1.0,2.2,3.3,1.2,2.16,1.0,0.27,0.346,0.721,0.0,1
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.684,0.0,1
0,26.5,91.4,50.0,2.0,3.0,6.6,9.9,4.4,7.92,3.0,0.8,0.319,0.665,0.0,1
0,26.5,91.4,50.0,2.0,3.6,7.92,11.88,21.1,37.98,3.6,0.96,0.362,0.753,26.1,1
0,26.5,91.4,50.0,2.0,3.5,7.7,11.55,15.5,27.9,3.5,0.93,0.416,0.867,16.35,1
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.445,0.0,0
0,26.5,91.4,50.0,2.0,1.0,2.2,3.3,2.2,3.96,1.0,0.27,0.213,0.443,0.66,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.418,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.404,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.391,0.0,0
0,26.5,91.4,50.0,2.0,1.0,2.2,3.3,1.9,3.42,1.0,0.27,0.195,0.406,0.12,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.379,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.362,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.35,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.341,0.0,0
0,26.5,91.4,50.0,2.0,0.4,0.88,1.32,1.9,3.42,0.4,0.11,0.392,0.816,2.1,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.76,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.723,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.699,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.671,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.654,0.0,0
0,26.5,91.4,50.0,2.0,0.1,0.22,0.33,0.2,0.36,0.1,0.03,0.304,0.634,0.03,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.617,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.597,0.0,0
0,26.5,91.4,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.574,0.0,0
1,26.5,91.49,58.0,2.8,0.7,1.54,2.31,2.4,4.32,0.7,0.19,0.492,1.0,2.01,1
1,26.5,91.49,58.0,2.8,8.6,18.92,28.38,86.4,155.52,8.6,2.29,0.511,1.0,127.14,1
1,26.5,91.49,58.0,2.8,7.7,16.94,25.41,57.3,103.14,7.7,2.05,0.51,1.0,77.73,1
1,26.5,91.49,58.0,2.8,10.2,22.44,33.66,75.9,136.62,10.2,2.72,0.511,1.0,102.96,1
1,26.5,91.49,58.0,2.8,6.1,13.42,20.13,13.6,24.48,6.1,1.63,0.506,1.0,4.35,1
1,26.5,91.49,58.0,2.8,7.3,16.06,24.09,50.0,90.0,7.3,1.95,0.508,1.0,65.91,1
1,26.5,91.49,58.0,2.8,10.5,23.1,34.65,43.2,77.76,10.5,2.8,0.508,1.0,43.11,1
1,26.5,91.49,58.0,2.8,5.4,11.88,17.82,31.5,56.7,5.4,1.44,0.51,1.0,38.88,1
1,26.5,91.49,58.0,2.8,2.1,4.62,6.93,6.4,11.52,2.1,0.56,0.497,1.0,4.59,1
1,26.5,91.49,58.0,2.8,0.5,1.1,1.65,2.0,3.6,0.5,0.13,0.484,1.0,1.95,1
1,26.5,91.49,58.0,2.8,4.9,10.78,16.17,10.6,19.08,4.9,1.31,0.493,1.0,2.91,1
1,26.5,91.49,58.0,2.8,11.8,25.96,38.94,83.9,151.02,11.8,3.15,0.51,1.0,112.08,1
1,26.5,91.49,58.0,2.8,18.2,40.04,60.06,88.5,159.3,18.2,4.85,0.506,1.0,99.24,1
1,26.5,91.49,58.0,2.8,8.2,18.04,27.06,44.3,79.74,8.2,2.19,0.509,1.0,52.68,1
1,26.5,91.49,58.0,2.8,11.6,25.52,38.28,53.4,96.12,11.6,3.09,0.511,1.0,57.84,1
1,26.5,91.49,58.0,2.8,7.6,16.72,25.08,20.8,37.44,7.6,2.03,0.497,1.0,12.36,1
1,26.5,91.49,58.0,2.8,2.4,5.28,7.92,9.6,17.28,2.4,0.64,0.5,1.0,9.36,1
1,26.5,91.49,58.0,2.8,7.1,15.62,23.43,48.6,87.48,7.1,1.89,0.505,1.0,64.05,1
1,26.5,91.49,58.0,2.8,17.0,37.4,56.1,117.4,211.32,17.0,4.53,0.511,1.0,155.22,1
1,26.5,91.49,58.0,2.8,17.8,39.16,58.74,107.7,193.86,17.8,4.75,0.513,1.0,135.12,1
1,26.5,91.49,58.0,2.8,15.9,34.98,52.47,132.8,239.04,15.9,4.24,0.512,1.0,186.57,1
1,26.5,91.49,58.0,2.8,10.7,23.54,35.31,112.0,201.6,10.7,2.85,0.514,1.0,166.29,1
1,26.5,91.49,58.0,2.8,19.1,42.02,63.03,64.7,116.46,19.1,5.09,0.51,1.0,53.43,1
1,26.5,91.49,58.0,2.8,11.2,24.64,36.96,64.8,116.64,11.2,2.99,0.512,1.0,79.68,1
1,26.5,91.49,58.0,2.8,4.8,10.56,15.84,23.1,41.58,4.8,1.28,0.504,1.0,25.74,1
1,26.5,91.49,58.0,2.8,2.0,4.4,6.6,6.3,11.34,2.0,0.53,0.499,1.0,4.74,1
1,26.5,91.49,58.0,2.8,0.2,0.44,0.66,1.1,1.98,0.2,0.05,0.467,0.973,1.32,1
1,26.5,91.49,58.0,2.8,5.8,12.76,19.14,20.2,36.36,5.8,1.55,0.49,1.0,17.22,1
1,26.5,91.49,58.0,2.8,18.9,41.58,62.37,158.3,284.94,18.9,5.04,0.514,1.0,222.57,1
1,26.5,91.49,58.0,2.8,9.1,20.02,30.03,74.5,134.1,9.1,2.43,0.51,1.0,104.07,1
1,26.5,91.49,58.0,2.8,26.0,57.2,85.8,197.4,355.32,26.0,6.93,0.514,1.0,269.52,1
1,26.5,91.49,58.0,2.8,30.5,67.1,100.65,168.2,302.76,30.5,8.13,0.512,1.0,202.11,1
1,26.5,91.49,58.0,2.8,5.2,11.44,17.16,39.3,70.74,5.2,1.39,0.508,1.0,53.58,1
1,26.5,91.49,58.0,2.8,7.5,16.5,24.75,18.3,32.94,7.5,2.0,0.501,1.0,8.19,1
1,26.5,91.49,58.0,2.8,0.7,1.54,2.31,4.8,8.64,0.7,0.19,0.5,1.0,6.33,1
1,26.5,91.49,58.0,2.8,0.6,1.32,1.98,1.9,3.42,0.6,0.16,0.486,1.0,1.44,1
1,26.5,91.49,58.0,2.8,0.2,0.44,0.66,0.6,1.08,0.2,0.05,0.473,0.985,0.42,1
1,26.5,91.49,58.0,2.8,0.3,0.66,0.99,0.6,1.08,0.3,0.08,0.45,0.938,0.09,1
1,26.5,91.49,58.0,2.8,0.9,1.98,2.97,1.1,1.98,0.9,0.24,0.43,0.895,0.0,1
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.85,0.0,1
1,26.5,91.49,58.0,2.8,3.0,6.6,9.9,4.5,8.1,3.0,0.8,0.397,0.826,0.0,1
1,26.5,91.49,58.0,2.8,3.9,8.58,12.87,19.8,35.64,3.9,1.04,0.441,0.92,22.77,1
1,26.5,91.49,58.0,2.8,2.9,6.38,9.57,14.5,26.1,2.9,0.77,0.501,1.0,16.53,1
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.713,0.0,0
1,26.5,91.49,58.0,2.8,0.8,1.76,2.64,1.8,3.24,0.8,0.21,0.339,0.706,0.6,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.674,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.659,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.645,0.0,0
1,26.5,91.49,58.0,2.8,0.6,1.32,1.98,1.7,3.06,0.6,0.16,0.32,0.666,1.08,0
